variable,location,support,missing_pct
pressure_3pm,AliceSprings,3043,0.000985869208018403
pressure_3pm,Walpole,2831,0.0007064641469445425
pressure_3pm,Dartmoor,2955,0.0006768189509306261
pressure_3pm,NorfolkIsland,2976,0.0006720430107526882
pressure_3pm,Mildura,3019,0.000662471016893011
pressure_3pm,Uluru,1533,0.0006523157208088715
pressure_3pm,Brisbane,3173,0.0006303183107469272
pressure_3pm,Darwin,3204,0.0006242197253433209
pressure_3pm,Moree,2866,0.0003489183531053733
pressure_3pm,PerthAirport,3021,0.00033101621979476995
pressure_3pm,Hobart,3200,0.0003125
pressure_3pm,Perth,3205,0.00031201248049921997
pressure_3pm,Cairns,3000,0.0
pressure_3pm,GoldCoast,2992,0.0
pressure_3pm,MelbourneAirport,3021,0.0
pressure_3pm,Nhil,1581,0.0
pressure_3pm,Townsville,3045,0.0
pressure_3pm,WaggaWagga,2988,0.0
pressure_3pm,Watsonia,3011,0.0
pressure_9am,Penrith,2976,0.9959677419354839
pressure_9am,Newcastle,2967,0.9959555106167847
pressure_9am,SalmonGums,2967,0.9959555106167847
pressure_9am,MountGinini,2919,0.9958890030832477
pressure_9am,Launceston,3040,0.3769736842105263
pressure_9am,CoffsHarbour,2965,0.0893760539629005
pressure_9am,Canberra,3430,0.0653061224489796
pressure_9am,BadgerysCreek,2940,0.04863945578231293
pressure_9am,Witchcliffe,2964,0.04487179487179487
pressure_9am,Wollongong,2995,0.01669449081803005
pressure_9am,Cobar,3000,0.009
pressure_9am,Albany,3028,0.008256274768824307
pressure_9am,Ballarat,3040,0.007894736842105263
pressure_9am,Richmond,2963,0.006749915626054675
pressure_9am,PearceRAAF,2774,0.006488824801730353
pressure_9am,Sydney,3349,0.005971931919976112
pressure_9am,Tuggeranong,3010,0.0049833887043189366
pressure_9am,Sale,3012,0.004648074369189907
pressure_9am,Bendigo,3046,0.004596191726854892
pressure_9am,NorahHead,2941,0.004080244814688882
pressure_9am,Portland,3008,0.003989361702127659
pressure_9am,Williamtown,2565,0.003898635477582846
pressure_9am,Woomera,3002,0.0036642238507661557
pressure_9am,NorfolkIsland,2976,0.002688172043010753
pressure_9am,SydneyAirport,3017,0.002651640702684786
pressure_9am,Adelaide,3102,0.0025789813023855577
pressure_9am,Nuriootpa,3014,0.00232249502322495
pressure_9am,Uluru,1533,0.0019569471624266144
pressure_9am,Mildura,3019,0.001324942033786022
pressure_9am,Walpole,2831,0.0007064641469445425
pressure_9am,PerthAirport,3021,0.0006620324395895399
pressure_9am,Katherine,1571,0.0006365372374283895
pressure_9am,Melbourne,2447,0.0004086636697997548
pressure_9am,Dartmoor,2955,0.00033840947546531303
pressure_9am,MountGambier,3042,0.0003287310979618672
pressure_9am,AliceSprings,3043,0.00032862306933946765
pressure_9am,Hobart,3200,0.0003125
pressure_9am,Darwin,3204,0.00031210986267166043
pressure_9am,Perth,3205,0.00031201248049921997
pressure_9am,Albury,3023,0.0
pressure_9am,Brisbane,3173,0.0
pressure_9am,Cairns,3000,0.0
pressure_9am,GoldCoast,2992,0.0
pressure_9am,MelbourneAirport,3021,0.0
pressure_9am,Moree,2866,0.0
pressure_9am,Nhil,1581,0.0
pressure_9am,Townsville,3045,0.0
pressure_9am,WaggaWagga,2988,0.0
pressure_9am,Watsonia,3011,0.0
rain_today,Williamtown,2565,0.06900584795321638
rain_today,Melbourne,2447,0.05598692276256641
rain_today,PearceRAAF,2774,0.0418168709444845
rain_today,MountGinini,2919,0.03117505995203837
rain_today,Adelaide,3102,0.02256608639587363
rain_today,Moree,2866,0.02198185624563852
rain_today,GoldCoast,2992,0.01871657754010695
rain_today,Penrith,2976,0.017809139784946238
rain_today,BadgerysCreek,2940,0.017346938775510204
rain_today,Walpole,2831,0.017308371600141294
rain_today,Richmond,2963,0.015187310158623017
rain_today,NorahHead,2941,0.01394083645018701
rain_today,Wollongong,2995,0.01335559265442404
rain_today,Tuggeranong,3010,0.012956810631229236
rain_today,Uluru,1533,0.012393998695368558
rain_today,Witchcliffe,2964,0.009446693657219974
rain_today,Brisbane,3173,0.009139615505830444
rain_today,Katherine,1571,0.008911521323997454
rain_today,Newcastle,2967,0.008763060330299966
rain_today,Cairns,3000,0.008
rain_today,NorfolkIsland,2976,0.006720430107526882
rain_today,Albury,3023,0.006615944426066821
rain_today,Albany,3028,0.0066050198150594455
rain_today,WaggaWagga,2988,0.006024096385542169
rain_today,SalmonGums,2967,0.0047185709470845974
rain_today,Canberra,3430,0.004664723032069971
rain_today,CoffsHarbour,2965,0.004384485666104553
rain_today,Portland,3008,0.003989361702127659
rain_today,Ballarat,3040,0.003618421052631579
rain_today,Watsonia,3011,0.0029890401859847225
rain_today,Cobar,3000,0.0026666666666666666
rain_today,Sale,3012,0.0026560424966799467
rain_today,Launceston,3040,0.002631578947368421
rain_today,MountGambier,3042,0.0026298487836949377
rain_today,Nhil,1581,0.002530044275774826
rain_today,Woomera,3002,0.001998667554963358
rain_today,Nuriootpa,3014,0.0019907100199071004
rain_today,AliceSprings,3043,0.001971738416036806
rain_today,Townsville,3045,0.0019704433497536944
rain_today,Sydney,3349,0.0017915795759928337
rain_today,Hobart,3200,0.0015625
rain_today,Dartmoor,2955,0.0013536379018612521
rain_today,SydneyAirport,3017,0.001325820351342393
rain_today,Bendigo,3046,0.0013131976362442547
rain_today,Mildura,3019,0.000662471016893011
rain_today,Darwin,3204,0.0
rain_today,MelbourneAirport,3021,0.0
rain_today,Perth,3205,0.0
rain_today,PerthAirport,3021,0.0
rainfall,Williamtown,2565,0.06900584795321638
rainfall,Melbourne,2447,0.05598692276256641
rainfall,PearceRAAF,2774,0.0418168709444845
rainfall,MountGinini,2919,0.03117505995203837
rainfall,Adelaide,3102,0.02256608639587363
rainfall,Moree,2866,0.02198185624563852
rainfall,GoldCoast,2992,0.01871657754010695
rainfall,Penrith,2976,0.017809139784946238
rainfall,BadgerysCreek,2940,0.017346938775510204
rainfall,Walpole,2831,0.017308371600141294
rainfall,Richmond,2963,0.015187310158623017
rainfall,NorahHead,2941,0.01394083645018701
rainfall,Wollongong,2995,0.01335559265442404
rainfall,Tuggeranong,3010,0.012956810631229236
rainfall,Uluru,1533,0.012393998695368558
rainfall,Witchcliffe,2964,0.009446693657219974
rainfall,Brisbane,3173,0.009139615505830444
rainfall,Katherine,1571,0.008911521323997454
rainfall,Newcastle,2967,0.008763060330299966
rainfall,Cairns,3000,0.008
rainfall,NorfolkIsland,2976,0.006720430107526882
rainfall,Albury,3023,0.006615944426066821
rainfall,Albany,3028,0.0066050198150594455
rainfall,WaggaWagga,2988,0.006024096385542169
rainfall,SalmonGums,2967,0.0047185709470845974
rainfall,Canberra,3430,0.004664723032069971
rainfall,CoffsHarbour,2965,0.004384485666104553
rainfall,Portland,3008,0.003989361702127659
rainfall,Ballarat,3040,0.003618421052631579
rainfall,Watsonia,3011,0.0029890401859847225
rainfall,Cobar,3000,0.0026666666666666666
rainfall,Sale,3012,0.0026560424966799467
rainfall,Launceston,3040,0.002631578947368421
rainfall,MountGambier,3042,0.0026298487836949377
rainfall,Nhil,1581,0.002530044275774826
rainfall,Woomera,3002,0.001998667554963358
rainfall,Nuriootpa,3014,0.0019907100199071004
rainfall,AliceSprings,3043,0.001971738416036806
rainfall,Townsville,3045,0.0019704433497536944
rainfall,Sydney,3349,0.0017915795759928337
rainfall,Hobart,3200,0.0015625
rainfall,Dartmoor,2955,0.0013536379018612521
rainfall,SydneyAirport,3017,0.001325820351342393
rainfall,Bendigo,3046,0.0013131976362442547
rainfall,Mildura,3019,0.000662471016893011
rainfall,Darwin,3204,0.0
rainfall,MelbourneAirport,3021,0.0
rainfall,Perth,3205,0.0
rainfall,PerthAirport,3021,0.0
sunshine,Bendigo,3046,0.9960604070912672
sunshine,Ballarat,3040,0.9960526315789474
sunshine,Launceston,3040,0.9960526315789474
sunshine,Albury,3023,0.9960304333443599
sunshine,Tuggeranong,3010,0.9960132890365448
sunshine,Wollongong,2995,0.9959933222036728
sunshine,GoldCoast,2992,0.9959893048128342
sunshine,Penrith,2976,0.9959677419354839
sunshine,Newcastle,2967,0.9959555106167847
sunshine,SalmonGums,2967,0.9959555106167847
sunshine,Witchcliffe,2964,0.9959514170040485
sunshine,Richmond,2963,0.9959500506243671
sunshine,NorahHead,2941,0.9959197551853112
sunshine,BadgerysCreek,2940,0.9959183673469387
sunshine,MountGinini,2919,0.9958890030832477
sunshine,Walpole,2831,0.9957612151183327
sunshine,Nhil,1581,0.9924098671726755
sunshine,Katherine,1571,0.9923615531508593
sunshine,Uluru,1533,0.9921722113502935
sunshine,Cobar,3000,0.8126666666666666
sunshine,Canberra,3430,0.5556851311953352
sunshine,CoffsHarbour,2965,0.49308600337268127
sunshine,Williamtown,2565,0.4686159844054581
sunshine,Adelaide,3102,0.44874274661508706
sunshine,Sale,3012,0.39243027888446214
sunshine,Woomera,3002,0.32878081279147237
sunshine,Moree,2866,0.27948360083740403
sunshine,AliceSprings,3043,0.16792638843246796
sunshine,Albany,3028,0.16710700132100395
sunshine,Dartmoor,2955,0.14957698815566836
sunshine,Portland,3008,0.1466090425531915
sunshine,MountGambier,3042,0.1423405654174885
sunshine,Cairns,3000,0.142
sunshine,Townsville,3045,0.13694581280788176
sunshine,WaggaWagga,2988,0.13420348058902276
sunshine,NorfolkIsland,2976,0.13239247311827956
sunshine,Nuriootpa,3014,0.05209024552090245
sunshine,Mildura,3019,0.04372308711493872
sunshine,Brisbane,3173,0.015127639457926252
sunshine,SydneyAirport,3017,0.005303281405369572
sunshine,Sydney,3349,0.00477754553598089
sunshine,Hobart,3200,0.004375
sunshine,PearceRAAF,2774,0.001802451333813987
sunshine,PerthAirport,3021,0.0016550810989738498
